First,Last,Nickname,Date of Birth,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt,SLpM,Str.Acc,SApM,Str.Def,TD.Avg,TD.Acc,TD.Def,Sub.Avg
Tom,Aaron,,Jul 13 1978,--,155 lbs.,--,,5,3,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Danny,Abbadi,The Assassin,Jul 03 1983,5' 11",155 lbs.,--,Orthodox,4,6,0,--,3.29,38,4.41,57,0.00,0,77,0.0
David,Abbott,Tank,--,6' 0",265 lbs.,--,Switch,10,15,0,--,1.35,30,3.55,38,1.07,33,66,0.0
Shamil,Abdurakhimov,Abrek,Sep 02 1981,6' 3",235 lbs.,76.0",Orthodox,20,5,0,--,2.45,44,2.45,58,1.23,24,47,0.2
Hiroyuki,Abe,Abe Ani,--,5' 6",145 lbs.,--,Orthodox,8,15,3,--,1.71,36,3.11,63,0.00,0,33,0.0
Daichi,Abe,,Nov 27 1991,5' 11",170 lbs.,71.0",Orthodox,6,2,0,--,3.80,33,4.49,56,0.33,50,0,0.0
Papy,Abedi,Makambo,Jun 30 1978,5' 11",185 lbs.,--,Southpaw,10,4,0,--,2.80,55,3.15,48,3.47,57,50,1.3
Ricardo,Abreu,Demente,Apr 27 1984,5' 11",185 lbs.,--,Orthodox,5,1,0,--,3.79,31,3.98,68,2.13,42,100,0.7
Klidson,Abreu,White Bear,Dec 24 1992,6' 0",205 lbs.,74.0",Orthodox,15,4,0,--,2.05,40,2.90,55,0.64,20,80,0.0
Daniel,Acacio,,Dec 27 1977,5' 8",180 lbs.,--,Orthodox,30,18,0,--,3.52,36,2.85,62,0.33,20,81,0.0
Scott,Adams,,--,6' 0",225 lbs.,--,Southpaw,8,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Juan,Adams,The Kraken,Jan 16 1992,6' 5",265 lbs.,80.0",Orthodox,5,3,0,--,7.09,55,4.06,34,0.91,66,57,0.0
Anthony,Adams,Sugafoot,Jan 13 1988,6' 1",185 lbs.,76.0",Orthodox,8,2,0,--,3.17,41,5.93,44,0.00,0,0,0.0
Zarrukh,Adashev,The Lion,Jul 29 1992,5' 5",125 lbs.,65.0",Southpaw,3,3,0,--,1.93,23,3.35,60,0.00,0,0,0.0
Israel,Adesanya,The Last Stylebender,Jul 22 1989,6' 4",185 lbs.,80.0",Switch,20,1,0,Champ,3.95,49,2.63,61,0.00,0,82,0.3
Sam,Adkins,The Experience,Apr 26 1965,6' 3",225 lbs.,--,Orthodox,7,20,2,--,0.00,0,0.00,0,0.00,0,0,0.0
Nick,Agallar,,Jan 13 1979,5' 8",155 lbs.,--,Orthodox,24,6,0,--,0.69,11,4.56,42,0.00,0,0,0.0
Mariya,Agapova,,Apr 07 1997,5' 6",125 lbs.,68.0",Southpaw,9,2,0,--,3.70,50,4.15,47,1.23,66,33,0.6
Marcelo,Aguiar,,--,5' 10",170 lbs.,--,Orthodox,2,3,1,--,0.00,0,0.00,0,0.00,0,0,0.0
Fabio,Aguiar,,Feb 10 1988,6' 0",185 lbs.,--,,17,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Edwin,Aguilar,Tigre,--,5' 10",185 lbs.,--,,26,19,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Jessica,Aguilar,Jag,May 08 1982,5' 3",115 lbs.,63.0",Orthodox,20,8,0,--,4.93,50,7.19,53,0.94,25,50,0.2
Kevin,Aguilar,Angel of Death,Sep 07 1988,5' 7",155 lbs.,73.0",Orthodox,17,5,0,--,3.96,40,4.81,52,0.16,16,78,0.0
Christian,Aguilera,The Beast,Nov 25 1991,5' 9",170 lbs.,72.0",Switch,14,8,0,--,2.54,37,4.04,48,0.00,0,60,0.0
Mike,Aina,Iron,--,5' 9",155 lbs.,--,Orthodox,14,6,1,--,2.87,33,6.33,59,0.00,0,71,0.0
Hitomi,Akano,Girlfight Monster,Jul 27 1974,5' 4",135 lbs.,--,Southpaw,18,10,0,--,0.59,45,2.58,55,0.00,0,8,0.5
Omari,Akhmedov,Wolverine,Oct 12 1987,6' 0",185 lbs.,73.0",Orthodox,21,5,1,--,2.95,35,2.59,57,2.63,49,65,0.3
Yoshihiro,Akiyama,,Jul 29 1975,5' 10",170 lbs.,75.0",Orthodox,14,6,0,--,3.10,41,3.62,57,2.29,67,92,1.0
Rostem,Akman,,Dec 19 1991,5' 10",170 lbs.,72.0",Switch,6,2,0,--,1.80,25,3.97,57,1.00,40,87,0.0
Razak,Al-Hassan,,May 14 1982,6' 2",205 lbs.,--,Orthodox,13,5,0,--,3.27,39,3.14,60,0.65,14,57,0.0
Mostapha,Al-Turk,,Jul 14 1973,6' 2",245 lbs.,77.0",Orthodox,6,6,0,--,1.36,19,3.61,53,0.00,0,0,0.0
Herdem,Alacabek,,Jun 07 1991,6' 2",205 lbs.,75.0",Orthodox,5,1,0,--,3.84,65,6.66,23,2.06,50,42,0.0
Javi,Alanis,,--,5' 6",135 lbs.,--,,0,4,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Heili,Alateng,The Mongolian Knight,Dec 14 1991,5' 5",135 lbs.,66.0",Orthodox,14,8,1,--,2.87,32,5.82,57,2.33,35,100,0.0
Amir,Albazi,The Prince,Oct 27 1993,5' 5",125 lbs.,68.0",Orthodox,14,1,0,--,4.06,40,3.15,58,2.28,75,66,0.8
Brett,Albee,,--,--,225 lbs.,--,,3,2,0,--,0.00,0,0.00,0,0.00,0,0,0.0
John,Albert,Prince,Oct 13 1986,5' 8",135 lbs.,68.0",Orthodox,6,5,0,--,3.05,49,2.82,35,0.00,0,50,6.1
Junior,Albini,Baby,Mar 15 1991,6' 3",264 lbs.,74.0",Orthodox,14,6,0,--,3.98,51,6.08,52,1.54,37,100,0.0
Wes,Albritton,,--,5' 10",188 lbs.,--,Orthodox,0,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Aleksandra,Albu,Stitch,Jul 14 1990,5' 2",115 lbs.,63.0",Orthodox,3,2,0,--,4.83,47,5.56,38,2.27,50,77,0.4
Israel,Albuquerque,,--,--,185 lbs.,--,Orthodox,0,3,0,--,0.32,13,3.34,25,0.00,0,0,0.0
Juan,Alcain,,--,--,--,--,,1,2,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Iuri,Alcantara,Marajo,Aug 04 1980,5' 9",135 lbs.,71.0",Southpaw,35,10,0,--,2.72,45,2.79,49,1.44,62,60,0.8
Ildemar,Alcantara,Marajo,Nov 18 1982,6' 2",185 lbs.,78.0",Orthodox,21,11,0,--,1.93,38,2.63,50,2.00,68,81,0.9
Alfonso,Alcarez,,Jun 10 1970,5' 3",145 lbs.,--,,1,3,1,--,0.00,0,0.00,0,0.00,0,0,0.0
Gilbert,Aldana,El Peligro,Aug 25 1977,6' 1",250 lbs.,--,Orthodox,6,2,0,--,2.91,54,6.26,26,2.57,40,33,0.0
Irene,Aldana,,Mar 26 1988,5' 9",135 lbs.,68.0",Orthodox,12,6,0,--,5.52,38,5.97,61,0.23,50,84,0.1
Hector,Aldana,,Aug 17 1988,5' 11",170 lbs.,72.0",Orthodox,4,3,0,--,3.59,38,5.08,59,0.93,100,0,0.0
Jose,Aldo,,Sep 09 1986,5' 7",135 lbs.,70.0",Orthodox,29,7,0,--,3.45,45,3.52,61,0.57,56,91,0.1
JJ,Aldrich,,Sep 29 1992,5' 5",125 lbs.,67.0",Southpaw,9,4,0,--,3.76,41,4.55,61,0.80,40,57,0.0
Jim,Alers,The Beast,Oct 14 1986,5' 9",145 lbs.,71.0",Orthodox,13,3,0,--,2.90,40,4.38,56,2.26,41,80,0.3
John,Alessio,The Natural,Jul 05 1979,5' 10",155 lbs.,72.0",Orthodox,35,17,0,--,2.10,39,2.91,54,1.85,38,70,1.2
Houston,Alexander,The Assassin,Mar 22 1972,6' 0",205 lbs.,72.0",Orthodox,17,15,1,--,3.06,54,3.20,52,1.19,57,33,0.0
Kenneth,Alexander,The Machine,Sep 25 1977,5' 9",155 lbs.,--,Orthodox,7,6,0,--,0.88,19,2.20,66,4.71,26,0,0.0
Marcio,Alexandre Junior,Lyoto,May 05 1989,6' 0",185 lbs.,75.0",Southpaw,17,4,0,--,1.61,45,2.89,42,0.35,20,66,0.7
Olaf,Alfonso,,Aug 06 1974,6' 2",170 lbs.,--,Orthodox,8,12,0,--,1.65,38,4.77,53,0.37,7,22,0.7
Pablo,Alfonso,The Hurricane,May 09 1983,5' 8",145 lbs.,--,,9,7,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Levi,Alford,,--,--,--,--,,1,7,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Bill,Algeo,Senor Perfecto,Jun 09 1989,6' 0",145 lbs.,73.0",Switch,14,5,0,--,6.80,56,5.31,38,0.67,33,62,0.0
Royce,Alger,,--,5' 10",199 lbs.,--,Orthodox,3,2,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Amir,Aliakbari,,Jun 10 1984,6' 3",250 lbs.,--,,10,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Sultan,Aliev,,Sep 17 1984,5' 11",170 lbs.,74.0",Orthodox,15,3,0,--,1.41,45,2.20,56,1.76,38,100,0.0
John,Allan,,Feb 22 1993,6' 1",205 lbs.,75.0",Orthodox,13,6,0,--,2.95,43,4.01,52,1.94,71,50,1.2
George,Allen,,Jan 13 1967,6' 2",205 lbs.,--,Open Stance,13,19,2,--,0.80,38,3.10,43,0.00,0,50,0.0
Arnold,Allen,Almighty,Jan 22 1994,5' 8",145 lbs.,70.0",Southpaw,17,1,0,--,2.96,40,2.15,66,1.44,50,76,0.4
Brendan,Allen,All In,Dec 28 1995,6' 2",185 lbs.,75.0",Orthodox,16,4,0,--,3.35,58,4.19,39,1.73,50,50,2.1
Ben,Alloway,Blanco,Feb 19 1981,5' 11",170 lbs.,76.0",Orthodox,18,8,0,--,1.28,49,1.90,59,0.62,50,26,0.0
Ricardo,Almeida,Big Dog,Nov 29 1976,6' 0",170 lbs.,74.0",Orthodox,13,5,0,--,2.02,49,1.20,61,3.74,38,31,1.2
Magno,Almeida,,Jun 06 1985,6' 0",155 lbs.,--,,10,3,0,--,1.67,36,2.60,41,0.00,0,40,5.0
Thomas,Almeida,Thominhas,Jul 31 1991,5' 7",145 lbs.,70.0",Southpaw,22,5,0,--,4.84,43,4.93,61,0.17,14,75,0.0
Ericka,Almeida,,Mar 05 1989,5' 6",115 lbs.,--,Orthodox,7,3,0,--,1.07,39,3.33,43,0.50,33,37,0.0
Estefani,Almeida,,Oct 17 1988,5' 4",125 lbs.,--,Orthodox,7,3,0,--,3.13,37,6.07,42,0.00,0,0,0.0
Jailton,Almeida,Gafanhoto Destruidor,--,5' 2",135 lbs.,--,,0,0,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Mauricio,Alonso,,Feb 27 1980,6' 2",170 lbs.,--,,13,7,0,--,5.74,34,1.91,67,0.00,0,0,0.0
Sarah,Alpar,Too Sweet,Jun 01 1991,5' 4",135 lbs.,63.0",Southpaw,9,5,0,--,2.11,54,4.76,32,2.69,28,50,0.7
Ali,AlQaisi,The Royal Fighter,Sep 23 1990,5' 6",135 lbs.,68.0",Orthodox,8,5,0,--,2.43,42,1.97,56,3.50,29,60,1.0
Rico,Altamirano,,--,5' 10",170 lbs.,--,,4,3,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Mike,Altman,,--,5' 10",185 lbs.,--,Orthodox,1,4,0,--,1.56,20,2.08,75,0.00,0,0,0.0
Sean,Alvarez,,Jul 14 1971,6' 0",235 lbs.,--,Orthodox,4,3,0,--,0.89,37,3.25,47,0.00,0,0,0.0
